"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2297",336.759909347018,-308.409841329317,981.929660023354,-649.942076930798,1323.46189562484
"2298",336.759909347018,-308.410483593066,981.930302287103,-649.943059188439,1323.46287788248
"2299",336.759909347018,-308.411125856176,981.930944550213,-649.944041445102,1323.46386013914
"2300",336.759909347018,-308.411768118647,981.931586812684,-649.945023700787,1323.46484239482
"2301",336.759909347018,-308.412410380478,981.932229074515,-649.946005955494,1323.46582464953
"2302",336.759909347018,-308.41305264167,981.932871335707,-649.946988209224,1323.46680690326
"2303",336.759909347018,-308.413694902222,981.933513596259,-649.947970461976,1323.46778915601
"2304",336.759909347018,-308.414337162136,981.934155856173,-649.948952713749,1323.46877140779
"2305",336.759909347018,-308.414979421409,981.934798115446,-649.949934964545,1323.46975365858
"2306",336.759909347018,-308.415621680044,981.935440374081,-649.950917214363,1323.4707359084
"2307",336.759909347018,-308.416263938039,981.936082632076,-649.951899463204,1323.47171815724
"2308",336.759909347018,-308.416906195395,981.936724889432,-649.952881711066,1323.4727004051
"2309",336.759909347018,-308.417548452111,981.937367146148,-649.953863957951,1323.47368265199
"2310",336.759909347018,-308.418190708188,981.938009402225,-649.954846203858,1323.4746648979
"2311",336.759909347018,-308.418832963626,981.938651657663,-649.955828448787,1323.47564714282
"2312",336.759909347018,-308.419475218424,981.939293912461,-649.956810692739,1323.47662938678
"2313",336.759909347018,-308.420117472583,981.93993616662,-649.957792935712,1323.47761162975
"2314",336.759909347018,-308.420759726103,981.94057842014,-649.958775177708,1323.47859387175
"2315",336.759909347018,-308.421401978983,981.94122067302,-649.959757418726,1323.47957611276
"2316",336.759909347018,-308.422044231224,981.941862925261,-649.960739658766,1323.4805583528
"2317",336.759909347018,-308.422686482826,981.942505176863,-649.961721897829,1323.48154059187
"2318",336.759909347018,-308.423328733788,981.943147427825,-649.962704135913,1323.48252282995
"2319",336.759909347018,-308.423970984111,981.943789678148,-649.96368637302,1323.48350506706
"2320",336.759909347018,-308.424613233795,981.944431927831,-649.964668609149,1323.48448730319
"2321",336.759909347018,-308.425255482839,981.945074176876,-649.965650844301,1323.48546953834
"2322",336.759909347018,-308.425897731244,981.945716425281,-649.966633078474,1323.48645177251
"2323",336.759909347018,-308.426539979009,981.946358673046,-649.96761531167,1323.48743400571
"2324",336.759909347018,-308.427182226136,981.947000920173,-649.968597543888,1323.48841623793
"2325",336.759909347018,-308.427824472623,981.94764316666,-649.969579775128,1323.48939846917
"2326",336.759909347018,-308.42846671847,981.948285412507,-649.970562005391,1323.49038069943
"2327",336.759909347018,-308.429108963679,981.948927657716,-649.971544234676,1323.49136292871
"2328",336.759909347018,-308.429751208248,981.949569902285,-649.972526462983,1323.49234515702
"2329",336.759909347018,-308.430393452178,981.950212146215,-649.973508690312,1323.49332738435
"2330",336.759909347018,-308.431035695468,981.950854389505,-649.974490916664,1323.4943096107
"2331",336.759909347018,-308.431677938119,981.951496632156,-649.975473142038,1323.49529183607
"2332",336.759909347018,-308.432320180131,981.952138874168,-649.976455366434,1323.49627406047
"2333",336.759909347018,-308.432962421504,981.952781115541,-649.977437589852,1323.49725628389
"2334",336.759909347018,-308.433604662237,981.953423356274,-649.978419812293,1323.49823850633
"2335",336.759909347018,-308.434246902331,981.954065596368,-649.979402033756,1323.49922072779
"2336",336.759909347018,-308.434889141785,981.954707835822,-649.980384254241,1323.50020294828
"2337",336.759909347018,-308.435531380601,981.955350074638,-649.981366473748,1323.50118516779
"2338",336.759909347018,-308.436173618777,981.955992312814,-649.982348692278,1323.50216738632
"2339",336.759909347018,-308.436815856314,981.95663455035,-649.98333090983,1323.50314960387
"2340",336.759909347018,-308.437458093211,981.957276787248,-649.984313126405,1323.50413182044
"2341",336.759909347018,-308.438100329469,981.957919023506,-649.985295342001,1323.50511403604
"2342",336.759909347018,-308.438742565088,981.958561259125,-649.98627755662,1323.50609625066
"2343",336.759909347018,-308.439384800068,981.959203494105,-649.987259770261,1323.5070784643
"2344",336.759909347018,-308.440027034408,981.959845728445,-649.988241982925,1323.50806067696
"2345",336.759909347018,-308.440669268109,981.960487962146,-649.989224194611,1323.50904288865
"2346",336.759909347018,-308.441311501171,981.961130195208,-649.990206405319,1323.51002509936
"2347",336.759909347018,-308.441953733593,981.96177242763,-649.991188615049,1323.51100730909
"2348",336.759909347018,-308.442595965376,981.962414659413,-649.992170823802,1323.51198951784
"2349",336.759909347018,-308.44323819652,981.963056890557,-649.993153031577,1323.51297172561
"2350",336.759909347018,-308.443880427025,981.963699121062,-649.994135238374,1323.51395393241
"2351",336.759909347018,-308.44452265689,981.964341350927,-649.995117444194,1323.51493613823
"2352",336.759909347018,-308.445164886116,981.964983580153,-649.996099649036,1323.51591834307
"2353",336.759909347018,-308.445807114703,981.96562580874,-649.997081852901,1323.51690054694
"2354",336.759909347018,-308.446449342651,981.966268036688,-649.998064055787,1323.51788274982
"2355",336.759909347018,-308.447091569959,981.966910263996,-649.999046257696,1323.51886495173
"2356",336.759909347018,-308.447733796628,981.967552490665,-650.000028458628,1323.51984715266
"2357",336.759909347018,-308.448376022658,981.968194716695,-650.001010658581,1323.52082935262
"2358",336.759909347018,-308.449018248049,981.968836942086,-650.001992857557,1323.52181155159
"2359",336.759909347018,-308.4496604728,981.969479166837,-650.002975055556,1323.52279374959
"2360",336.759909347018,-308.450302696912,981.970121390949,-650.003957252576,1323.52377594661
"2361",336.759909347018,-308.450944920385,981.970763614422,-650.004939448619,1323.52475814266
"2362",336.759909347018,-308.451587143218,981.971405837255,-650.005921643685,1323.52574033772
"2363",336.759909347018,-308.452229365412,981.972048059449,-650.006903837773,1323.52672253181
"2364",336.759909347018,-308.452871586967,981.972690281004,-650.007886030883,1323.52770472492
"2365",336.759909347018,-308.453513807883,981.97333250192,-650.008868223015,1323.52868691705
"2366",336.759909347018,-308.45415602816,981.973974722197,-650.00985041417,1323.52966910821
"2367",336.759909347018,-308.454798247797,981.974616941834,-650.010832604347,1323.53065129838
"2368",336.759909347018,-308.455440466795,981.975259160832,-650.011814793547,1323.53163348758
"2369",336.759909347018,-308.456082685154,981.975901379191,-650.012796981769,1323.53261567581
"2370",336.759909347018,-308.456724902874,981.976543596911,-650.013779169013,1323.53359786305
"2371",336.759909347018,-308.457367119954,981.977185813991,-650.01476135528,1323.53458004932
"2372",336.759909347018,-308.458009336395,981.977828030432,-650.015743540569,1323.53556223461
"2373",336.759909347018,-308.458651552197,981.978470246234,-650.016725724881,1323.53654441892
"2374",336.759909347018,-308.45929376736,981.979112461397,-650.017707908214,1323.53752660225
"2375",336.759909347018,-308.459935981883,981.97975467592,-650.018690090571,1323.53850878461
"2376",336.759909347018,-308.460578195767,981.980396889804,-650.019672271949,1323.53949096599
"2377",336.759909347018,-308.461220409012,981.981039103049,-650.020654452351,1323.54047314639
"2378",336.759909347018,-308.461862621618,981.981681315655,-650.021636631774,1323.54145532581
"2379",336.759909347018,-308.462504833585,981.982323527622,-650.02261881022,1323.54243750426
"2380",336.759909347018,-308.463147044912,981.982965738949,-650.023600987688,1323.54341968173
"2381",336.759909347018,-308.4637892556,981.983607949637,-650.024583164179,1323.54440185822
"2382",336.759909347018,-308.464431465649,981.984250159686,-650.025565339692,1323.54538403373
"2383",336.759909347018,-308.465073675059,981.984892369096,-650.026547514227,1323.54636620826
"2384",336.759909347018,-308.465715883829,981.985534577866,-650.027529687785,1323.54734838182
"2385",336.759909347018,-308.466358091961,981.986176785998,-650.028511860366,1323.5483305544
"2386",336.759909347018,-308.467000299453,981.98681899349,-650.029494031968,1323.54931272601
"2387",336.759909347018,-308.467642506306,981.987461200343,-650.030476202593,1323.55029489663
"2388",336.759909347018,-308.46828471252,981.988103406557,-650.031458372241,1323.55127706628
"2389",336.759909347018,-308.468926918094,981.988745612131,-650.032440540911,1323.55225923495
"2390",336.759909347018,-308.469569123029,981.989387817066,-650.033422708604,1323.55324140264
"2391",336.759909347018,-308.470211327326,981.990030021362,-650.034404875319,1323.55422356936
"2392",336.759909347018,-308.470853530982,981.990672225019,-650.035387041056,1323.55520573509
"2393",336.759909347018,-308.471495734,981.991314428037,-650.036369205816,1323.55618789985
"2394",336.759909347018,-308.472137936379,981.991956630416,-650.037351369598,1323.55717006364
"2395",336.759909347018,-308.472780138118,981.992598832155,-650.038333532403,1323.55815222644
"2396",336.759909347018,-308.473422339218,981.993241033255,-650.03931569423,1323.55913438827
"2397",336.759909347018,-308.474064539679,981.993883233716,-650.040297855079,1323.56011654912
"2398",336.759909347018,-308.474706739501,981.994525433538,-650.041280014951,1323.56109870899
"2399",336.759909347018,-308.475348938684,981.995167632721,-650.042262173846,1323.56208086788
"2400",336.759909347018,-308.475991137227,981.995809831264,-650.043244331763,1323.5630630258
"2401",336.759909347018,-308.476633335132,981.996452029168,-650.044226488703,1323.56404518274
"2402",336.759909347018,-308.477275532397,981.997094226434,-650.045208644664,1323.5650273387
"2403",336.759909347018,-308.477917729023,981.99773642306,-650.046190799649,1323.56600949369
"2404",336.759909347018,-308.478559925009,981.998378619046,-650.047172953656,1323.56699164769
"2405",336.759909347018,-308.479202120357,981.999020814394,-650.048155106685,1323.56797380072
"2406",336.759909347018,-308.479844315065,981.999663009102,-650.049137258737,1323.56895595277
"2407",336.759909347018,-308.480486509135,982.000305203172,-650.050119409811,1323.56993810385
"2408",336.759909347018,-308.481128702565,982.000947396602,-650.051101559908,1323.57092025394
"2409",336.759909347018,-308.481770895356,982.001589589393,-650.052083709027,1323.57190240306
"2410",336.759909347018,-308.482413087508,982.002231781545,-650.053065857169,1323.57288455121
"2411",336.759909347018,-308.48305527902,982.002873973057,-650.054048004333,1323.57386669837
"2412",336.759909347018,-308.483697469894,982.003516163931,-650.05503015052,1323.57484884456
"2413",336.759909347018,-308.484339660128,982.004158354165,-650.056012295729,1323.57583098977
"2414",336.759909347018,-308.484981849723,982.00480054376,-650.056994439961,1323.576813134
"2415",336.759909347018,-308.485624038679,982.005442732716,-650.057976583215,1323.57779527725
"2416",336.759909347018,-308.486266226996,982.006084921033,-650.058958725492,1323.57877741953
"2417",336.759909347018,-308.486908414674,982.006727108711,-650.059940866791,1323.57975956083
"2418",336.759909347018,-308.487550601713,982.00736929575,-650.060923007113,1323.58074170115
"2419",336.759909347018,-308.488192788112,982.008011482149,-650.061905146458,1323.58172384049
"2420",336.759909347018,-308.488834973872,982.008653667909,-650.062887284824,1323.58270597886
"2421",336.759909347018,-308.489477158994,982.009295853031,-650.063869422214,1323.58368811625
"2422",336.759909347018,-308.490119343476,982.009938037513,-650.064851558626,1323.58467025266
"2423",336.759909347018,-308.490761527319,982.010580221356,-650.06583369406,1323.5856523881
"2424",336.759909347018,-308.491403710522,982.011222404559,-650.066815828517,1323.58663452255
"2425",336.759909347018,-308.492045893087,982.011864587124,-650.067797961997,1323.58761665603
"2426",336.759909347018,-308.492688075013,982.01250676905,-650.068780094499,1323.58859878854
"2427",336.759909347018,-308.493330256299,982.013148950336,-650.069762226023,1323.58958092006
"2428",336.759909347018,-308.493972436946,982.013791130983,-650.07074435657,1323.59056305061
"2429",336.759909347018,-308.494614616954,982.014433310991,-650.07172648614,1323.59154518018
"2430",336.759909347018,-308.495256796323,982.01507549036,-650.072708614733,1323.59252730877
"2431",336.759909347018,-308.495898975053,982.01571766909,-650.073690742347,1323.59350943638
"2432",336.759909347018,-308.496541153144,982.016359847181,-650.074672868985,1323.59449156302
"2433",336.759909347018,-308.497183330596,982.017002024633,-650.075654994645,1323.59547368868
"2434",336.759909347018,-308.497825507409,982.017644201446,-650.076637119327,1323.59645581336
"2435",336.759909347018,-308.498467683582,982.018286377619,-650.077619243032,1323.59743793707
"2436",336.759909347018,-308.499109859116,982.018928553153,-650.07860136576,1323.5984200598
"2437",336.759909347018,-308.499752034012,982.019570728049,-650.07958348751,1323.59940218155
"2438",336.759909347018,-308.500394208268,982.020212902305,-650.080565608283,1323.60038430232
"2439",336.759909347018,-308.501036381885,982.020855075922,-650.081547728078,1323.60136642212
"2440",336.759909347018,-308.501678554863,982.0214972489,-650.082529846896,1323.60234854093
"2441",336.759909347018,-308.502320727202,982.022139421239,-650.083511964736,1323.60333065877
"2442",336.759909347018,-308.502962898902,982.022781592938,-650.084494081599,1323.60431277564
"2443",336.759909347018,-308.503605069962,982.023423763999,-650.085476197485,1323.60529489152
"2444",336.759909347018,-308.504247240384,982.024065934421,-650.086458312393,1323.60627700643
"2445",336.759909347018,-308.504889410166,982.024708104203,-650.087440426324,1323.60725912036
"2446",336.759909347018,-308.50553157931,982.025350273347,-650.088422539278,1323.60824123331
"2447",336.759909347018,-308.506173747814,982.025992441851,-650.089404651254,1323.60922334529
"2448",336.759909347018,-308.506815915679,982.026634609716,-650.090386762252,1323.61020545629
"2449",336.759909347018,-308.507458082905,982.027276776942,-650.091368872274,1323.61118756631
"2450",336.759909347018,-308.508100249492,982.027918943529,-650.092350981318,1323.61216967535
"2451",336.759909347018,-308.50874241544,982.028561109477,-650.093333089384,1323.61315178342
"2452",336.759909347018,-308.509384580749,982.029203274786,-650.094315196473,1323.61413389051
"2453",336.759909347018,-308.510026745419,982.029845439456,-650.095297302585,1323.61511599662
"2454",336.759909347018,-308.51066890945,982.030487603487,-650.096279407719,1323.61609810176
"2455",336.759909347018,-308.511311072842,982.031129766879,-650.097261511876,1323.61708020591
"2456",336.759909347018,-308.511953235594,982.031771929631,-650.098243615056,1323.61806230909
"2457",336.759909347018,-308.512595397708,982.032414091745,-650.099225717258,1323.61904441129
"2458",336.759909347018,-308.513237559182,982.033056253219,-650.100207818483,1323.62002651252
"2459",336.759909347018,-308.513879720018,982.033698414055,-650.10118991873,1323.62100861277
"2460",336.759909347018,-308.514521880214,982.034340574251,-650.102172018,1323.62199071204
"2461",336.759909347018,-308.515164039771,982.034982733808,-650.103154116293,1323.62297281033
"2462",336.759909347018,-308.515806198689,982.035624892726,-650.104136213609,1323.62395490765
"2463",336.759909347018,-308.516448356969,982.036267051006,-650.105118309947,1323.62493700398
"2464",336.759909347018,-308.517090514609,982.036909208646,-650.106100405308,1323.62591909934
"2465",336.759909347018,-308.51773267161,982.037551365647,-650.107082499691,1323.62690119373
"2466",336.759909347018,-308.518374827972,982.038193522009,-650.108064593097,1323.62788328713
"2467",336.759909347018,-308.519016983695,982.038835677732,-650.109046685526,1323.62886537956
"2468",336.759909347018,-308.519659138779,982.039477832816,-650.110028776977,1323.62984747101
"2469",336.759909347018,-308.520301293224,982.040119987261,-650.111010867451,1323.63082956149
"2470",336.759909347018,-308.520943447029,982.040762141066,-650.111992956948,1323.63181165098
"2471",336.759909347018,-308.521585600196,982.041404294233,-650.112975045467,1323.6327937395
"2472",336.759909347018,-308.522227752724,982.042046446761,-650.113957133009,1323.63377582705
"2473",336.759909347018,-308.522869904613,982.04268859865,-650.114939219574,1323.63475791361
"2474",336.759909347018,-308.523512055862,982.043330749899,-650.115921305161,1323.6357399992
"2475",336.759909347018,-308.524154206473,982.04397290051,-650.116903389771,1323.63672208381
"2476",336.759909347018,-308.524796356445,982.044615050482,-650.117885473404,1323.63770416744
"2477",336.759909347018,-308.525438505777,982.045257199814,-650.118867556059,1323.6386862501
"2478",336.759909347018,-308.526080654471,982.045899348508,-650.119849637737,1323.63966833177
"2479",336.759909347018,-308.526722802525,982.046541496562,-650.120831718438,1323.64065041248
